baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	contrast	p0_axenic
WP_011102932.1	0	NA	NA	NA	NA	NA	plant_col_0_vs_ctrl	0
WP_005768226.1	0.426465682875219	0.758215635315026	1.37942844974831	0.549659270441586	0.582553097688145	0.730296261141746	plant_col_0_vs_ctrl	2.01517986041592e-05
WP_003377871.1	8.13477867135284	0.67035280150097	0.641783827786191	1.04451494799008	0.296247207005381	0.488827089568743	plant_col_0_vs_ctrl	0.000311159844088775
WP_005768224.1	0.160998724510147	0.730102801474139	2.88551042698827	0.253023795944546	0.800249824865687	NA	plant_col_0_vs_ctrl	2.07245837589268e-06
WP_011102950.1	39.8909661391604	1.41879979696871	0.585886504953975	2.42162907828055	0.0154511126207803	0.0686980334979292	plant_col_0_vs_ctrl	0.000633955734376419
WP_011102951.1	38.6035550046182	0.947882190636134	0.571385623720005	1.65891851542387	0.0971322131134842	0.240552448927548	plant_col_0_vs_ctrl	0.00107087187508979
WP_011102952.1	17.99196488098	1.26072321909857	0.565853450415599	2.2280030601079	0.0258803109404401	0.0997530648260154	plant_col_0_vs_ctrl	0.0003746536186335
WP_011102953.1	26.7293238558152	1.2014888792351	0.561900508522722	2.13825910639217	0.0324957195755914	0.11651762442311	plant_col_0_vs_ctrl	0.000550197997212712
WP_011102955.1	86.1169076600632	0.977934056691045	0.546761927417447	1.78859208670615	0.0736805332130509	0.202299172119506	plant_col_0_vs_ctrl	0.00177871970709745
WP_011102956.1	53.0185007232881	1.36717889592669	0.551128023241006	2.48069203211035	0.0131127610967566	0.0612433188147234	plant_col_0_vs_ctrl	0.000972663421414519
WP_011102957.1	23.5067752402779	1.10277199307679	0.549928547400292	2.00530050365631	0.0449309310213686	0.145622034126515	plant_col_0_vs_ctrl	0.000526794784954206
WP_011102958.1	18.6806237919947	0.956210230551527	0.5941858309367	1.6092780755881	0.107555550889224	0.259314938378189	plant_col_0_vs_ctrl	0.000363495784182182
WP_011102959.1	11.1914056957028	0.938967984618799	0.657544313469465	1.42799194728707	0.153294176351357	0.327921717233114	plant_col_0_vs_ctrl	0.000174779628255006
WP_003409202.1	17.763995794052	1.20684935638218	0.578480266233505	2.08624118544267	0.0369567812698904	0.127264228324999	plant_col_0_vs_ctrl	0.000411357610713639
WP_011102975.1	67.2706543673029	0.660109056370943	0.252725141574296	2.61196433508332	0.0090023644984621	0.0474494485163437	plant_col_0_vs_ctrl	0.000806053704401408
WP_044392641.1	168.2320231473	0.580378593520875	0.195000512913398	2.97629265097691	0.00291756301275305	0.0210354437380767	plant_col_0_vs_ctrl	0.00246587721214566
WP_005769588.1	78.8391658254731	0.306981096540122	0.210215383599595	1.46031699147594	0.144202974346763	0.315485374645444	plant_col_0_vs_ctrl	0.000603048734176702
WP_011102978.1	26.1680801452075	0.524216232367481	0.298456021747199	1.75642705849476	0.0790155159943613	0.211346200269793	plant_col_0_vs_ctrl	0.000129268108400769
WP_005769583.1	82.7501916616647	-0.562499602214409	0.254917734000272	-2.20659266574921	0.0273425298219418	0.103651234278183	plant_col_0_vs_ctrl	0.000537335463677427
WP_011102979.1	2.94669167885492	-0.569400492190174	0.456652496791925	-1.24690108165471	0.212433770094577	0.400639203766912	plant_col_0_vs_ctrl	2.54185126912436e-05
WP_005769579.1	26.5819846845109	0.626983955706253	0.294922385164699	2.12592867562805	0.0335091987946599	0.119575079015299	plant_col_0_vs_ctrl	0.000367863810409314
WP_005613236.1	2.7031413958004	0.938176539630866	0.906254743285725	1.03522386677879	0.300564375205749	0.494560080792476	plant_col_0_vs_ctrl	6.16072913618686e-05
WP_005613239.1	0	NA	NA	NA	NA	NA	plant_col_0_vs_ctrl	0
WP_007246518.1	1.62746094080733	1.08225258808555	0.993059359084919	1.08981661386569	0.275793934011299	0.472585748637424	plant_col_0_vs_ctrl	7.62609683473241e-05
WP_011102980.1	56.7624248636181	0.104416447564874	0.234005297932302	0.446214032278372	0.655442647686815	0.78830556801686	plant_col_0_vs_ctrl	0.000384108481013388
WP_003377974.1	81.0521237753507	0.0448336051906975	0.230880865505567	0.194185018721772	0.846031012928106	0.915653885946848	plant_col_0_vs_ctrl	0.000260716300530575
WP_011102981.1	13.5975831928237	0.714305891245098	0.34175779995514	2.09009389497141	0.0366093659883479	0.126655194962537	plant_col_0_vs_ctrl	0.000240099277994262
WP_005769571.1	1.53298945128725	-1.34461692059173	0.7425237803569	-1.81087388197242	0.0701603763729848	0.196007861293546	plant_col_0_vs_ctrl	6.80161988172364e-05
WP_002551500.1	4.04178079506481	0.918939922209597	0.684282757314189	1.3429242698098	0.17929649685662	0.361119737720344	plant_col_0_vs_ctrl	9.67064159840532e-05
WP_003377979.1	0.962420952731285	-0.538799387896276	0.660890407284145	-0.815262836255124	0.414921876712134	0.60632185995279	plant_col_0_vs_ctrl	4.07193471552898e-06
WP_007246513.1	5.18809660763426	1.33384842906745	0.71383161815407	1.86857571890233	0.061681866523269	0.179621934248017	plant_col_0_vs_ctrl	0.00011359754462702
WP_005769567.1	75.992925569329	0.929348297053261	0.20595493878973	4.51238655656654	6.41022222457921e-06	0.000141529936752376	plant_col_0_vs_ctrl	0.000383016003858387
WP_005769565.1	31.7038672646736	0.376944278215383	0.329914139845399	1.14255266049531	0.25322437002332	0.446513252659708	plant_col_0_vs_ctrl	5.57971321369497e-05
WP_005613323.1	9.33487480132516	-0.163298999362887	0.359320449965731	-0.454466199679036	0.64949331442511	0.783737709324503	plant_col_0_vs_ctrl	0.000221093383839259
WP_007246510.1	0.425014027557515	-5.32075385921436	1.41043755309637	-3.77241363684168	0.000161675936142657	0.00222258654855736	plant_col_0_vs_ctrl	3.65959647368319e-06
WP_005769563.1	43.3047335513807	0.114695674801366	0.232153335098609	0.494051376658657	0.62126989602803	0.760563267488093	plant_col_0_vs_ctrl	5.84045030934328e-05
WP_002551508.1	4.84483853928921	-1.1290217221618	0.656830360238373	-1.71889393442785	0.0856336868256144	0.221565000785308	plant_col_0_vs_ctrl	8.477488930788e-06
