DAKCFMEO_00001,WP_046463925.1,91.8,536,536,536,2.5e-282,965.3,1,1
DAKCFMEO_00002,WP_005766623.1,95.9,245,262,245,5.9e-136,478.0,0.935115,1
DAKCFMEO_00003,WP_005766620.1,97.8,970,970,970,0.0e+00,1888.6,1,1
DAKCFMEO_00006,WP_005766612.1,93.7,415,415,415,1.5e-213,736.5,1,1
DAKCFMEO_00012,WP_011103651.1,74.1,170,184,191,1.1e-77,283.9,0.923913,0.890052
DAKCFMEO_00014,WP_011105495.1,38.7,168,161,172,1.1e-23,104.4,1.04348,0.976744
DAKCFMEO_00018,WP_011103647.1,86.3,445,521,521,2.8e-153,536.6,0.854127,0.854127
DAKCFMEO_00020,WP_005767592.1,63.8,199,196,199,2.7e-61,229.6,1.01531,1
DAKCFMEO_00021,WP_011103634.1,88.1,302,304,302,1.3e-147,516.9,0.993421,1
DAKCFMEO_00022,WP_011103633.1,88.2,397,404,405,2.2e-182,632.9,0.982673,0.980247
DAKCFMEO_00023,WP_011103632.1,71.3,352,372,358,7.1e-151,528.1,0.946237,0.98324
DAKCFMEO_00024,WP_011103631.1,55.4,296,296,290,2.3e-83,303.5,1,1.02069
DAKCFMEO_00025,WP_046463930.1,63.0,238,239,239,3.0e-78,286.2,0.995816,0.995816
DAKCFMEO_00026,WP_161797814.1,71.1,76,79,92,3.7e-25,108.2,0.962025,0.826087
DAKCFMEO_00028,WP_005767577.1,88.8,437,438,438,7.9e-218,750.7,0.997717,0.997717
DAKCFMEO_00029,WP_011103628.1,90.3,724,723,724,0.0e+00,1312.4,1.00138,1
DAKCFMEO_00030,WP_005767572.1,69.3,101,102,102,2.5e-34,139.0,0.990196,0.990196
DAKCFMEO_00031,WP_011103627.1,85.8,387,394,387,4.9e-203,701.4,0.982234,1
DAKCFMEO_00032,WP_011103626.1,75.4,69,106,106,5.2e-22,98.2,0.650943,0.650943
DAKCFMEO_00033,WP_005767567.1,81.6,396,403,403,5.3e-184,638.3,0.98263,0.98263
DAKCFMEO_00034,WP_005767564.1,80.5,389,391,391,5.8e-180,624.8,0.994885,0.994885
DAKCFMEO_00035,WP_011103625.1,82.3,271,273,273,2.1e-136,479.6,0.992674,0.992674
DAKCFMEO_00036,WP_005616222.1,85.5,145,147,145,3.0e-68,252.3,0.986395,1
DAKCFMEO_00037,WP_011103623.1,65.1,166,166,166,3.6e-54,205.7,1,1
DAKCFMEO_00038,WP_011105108.1,36.2,174,175,189,1.0e-19,91.3,0.994286,0.920635
DAKCFMEO_00039,WP_011103622.1,79.5,337,337,337,3.7e-159,555.4,1,1
DAKCFMEO_00040,WP_024667376.1,77.9,136,136,136,6.1e-60,224.6,1,1
DAKCFMEO_00041,WP_007245711.1,89.9,179,179,179,3.5e-95,342.0,1,1
DAKCFMEO_00042,WP_005767549.1,93.2,322,329,323,2.6e-157,549.3,0.978723,0.996904
DAKCFMEO_00044,WP_003382533.1,92.1,126,126,126,9.0e-66,243.8,1,1
DAKCFMEO_00045,WP_005767545.1,88.7,133,137,134,5.2e-67,248.1,0.970803,0.992537
DAKCFMEO_00047,WP_005740539.1,97.1,278,278,278,1.7e-157,549.7,1,1
DAKCFMEO_00048,WP_003425462.1,98.3,59,59,59,2.5e-26,111.7,1,1
