DAKCFMEO_01263	WP_002551315.1	44	44	44	1	44	1	44	1.87e-25	100.000	0	100.00	84.7	1.000
DAKCFMEO_05162	WP_002551397.1	60	60	60	1	60	1	60	9.50e-37	95.000	3	95.00	114	1.000
DAKCFMEO_05211	WP_002551454.1	197	197	197	1	197	1	197	3.13e-145	98.985	2	98.98	399	1.000
DAKCFMEO_01837	WP_002551500.1	87	87	87	1	87	1	87	5.34e-59	96.552	3	100.00	172	1.000
DAKCFMEO_01845	WP_002551508.1	301	301	301	1	301	1	301	0.0	94.352	17	98.01	567	1.000
DAKCFMEO_01851	WP_002551514.1	77	77	77	1	77	1	77	2.41e-53	100.000	0	100.00	157	1.000
DAKCFMEO_01852	WP_002551515.1	51	51	51	1	51	1	51	1.19e-32	98.039	1	100.00	103	1.000
DAKCFMEO_01956	WP_002551560.1	419	419	419	1	419	1	419	0.0	99.284	3	99.76	847	1.000
DAKCFMEO_01967	WP_002551568.1	135	134	135	1	134	1	135	6.90e-94	97.778	2	99.26	264	1.007
DAKCFMEO_01972	WP_002551573.1	69	69	69	1	69	1	69	1.32e-40	92.754	5	97.10	124	1.000
DAKCFMEO_05096	WP_002551616.1	84	84	84	1	84	1	84	6.50e-57	96.429	3	98.81	167	1.000
DAKCFMEO_02133	WP_002551711.1	131	131	131	1	131	1	131	3.16e-92	95.420	6	96.95	259	1.000
DAKCFMEO_05002	WP_002551738.1	135	136	136	1	135	1	135	4.33e-94	94.074	8	96.30	265	0.993
DAKCFMEO_04892	WP_002551819.1	86	86	86	1	86	1	86	4.72e-61	100.000	0	100.00	177	1.000
DAKCFMEO_04881	WP_002551828.1	141	141	141	1	141	1	141	9.78e-103	99.291	1	100.00	287	1.000
DAKCFMEO_04880	WP_002551829.1	76	76	76	1	76	1	76	2.84e-52	100.000	0	100.00	154	1.000
DAKCFMEO_04866	WP_002551844.1	304	304	304	1	304	1	304	0.0	98.684	4	100.00	588	1.000
DAKCFMEO_02868	WP_002551877.1	71	71	71	1	71	1	71	8.61e-46	100.000	0	100.00	138	1.000
DAKCFMEO_02807	WP_002551946.1	264	264	264	1	264	1	264	0.0	99.242	2	99.62	542	1.000
DAKCFMEO_02800	WP_002551953.1	116	116	116	1	116	1	116	1.78e-82	98.276	2	99.14	234	1.000
DAKCFMEO_00541	WP_002551972.1	91	91	91	1	91	1	91	6.44e-63	100.000	0	100.00	182	1.000
DAKCFMEO_01662	WP_002552060.1	58	58	58	1	58	1	58	3.57e-36	98.276	1	100.00	112	1.000
DAKCFMEO_01647	WP_002552075.1	163	163	163	1	163	1	163	4.29e-116	98.773	2	100.00	323	1.000
DAKCFMEO_03443	WP_002552145.1	310	310	313	1	310	4	313	0.0	100.000	0	100.00	626	1.000
DAKCFMEO_03389	WP_002552194.1	127	127	127	1	127	1	127	1.92e-92	98.425	2	99.21	260	1.000
DAKCFMEO_03291	WP_002552279.1	93	93	93	1	93	1	93	6.35e-61	96.774	3	97.85	177	1.000
DAKCFMEO_03331	WP_002552468.1	111	111	111	1	111	1	111	1.81e-77	100.000	0	100.00	221	1.000
DAKCFMEO_03346	WP_002552482.1	141	141	141	1	141	1	141	4.09e-100	100.000	0	100.00	280	1.000
DAKCFMEO_03261	WP_002552524.1	116	116	116	1	116	1	116	2.95e-82	99.138	1	100.00	233	1.000
DAKCFMEO_04200	WP_002552552.1	103	103	103	1	103	1	103	5.67e-71	96.117	4	99.03	204	1.000
DAKCFMEO_04202	WP_002552554.1	52	52	52	1	52	1	52	1.10e-26	96.154	2	100.00	88.6	1.000
DAKCFMEO_04157	WP_002552611.1	124	124	124	1	124	1	124	8.95e-90	95.161	6	98.39	253	1.000
DAKCFMEO_04191	WP_002552653.1	84	84	84	1	84	1	84	1.94e-58	98.810	1	100.00	171	1.000
DAKCFMEO_04245	WP_002552688.1	60	60	60	1	60	1	60	3.98e-40	100.000	0	100.00	122	1.000
DAKCFMEO_04341	WP_002552729.1	287	289	288	3	289	2	288	0.0	95.819	12	97.91	561	0.993
DAKCFMEO_04350	WP_002552734.1	213	213	213	1	213	1	213	1.86e-161	100.000	0	100.00	441	1.000
DAKCFMEO_04353	WP_002552737.1	90	90	90	1	90	1	90	5.44e-59	98.889	1	98.89	172	1.000
DAKCFMEO_04534	WP_002552818.1	108	108	108	1	108	1	108	2.01e-74	99.074	1	100.00	213	1.000
DAKCFMEO_02621	WP_002552853.1	63	63	63	1	63	1	63	1.42e-23	90.476	6	96.83	81.6	1.000
DAKCFMEO_00650	WP_002552981.1	388	388	388	1	388	1	388	0.0	99.742	1	99.74	786	1.000
DAKCFMEO_00710	WP_002553016.1	93	93	93	1	93	1	93	8.20e-60	90.323	9	94.62	175	1.000
DAKCFMEO_00712	WP_002553018.1	83	83	83	1	83	1	83	8.91e-53	100.000	0	100.00	156	1.000
